TF,Target,Correlation
ANXA2,AACS,0.7521719963306306
ANXA2,ABCC4,0.049887376397186066
ANXA2,ABC9-43961700F1.1,-0.005303090579806535
ANXA2,ABCC6,0.7036762267026223
ANXA2,ABCC6P1,0.5329736371668027
ANXA2,ABCC12,0.3816202346770914
ANXA2,ABCA17P,0.2139930365610226
ANXA2,ABC13-48559800H2.2,0.04076179841041385
ANXA2,AANAT,0.374424977916575
ANXA2,ABC13-47488600E17.1,0.3137863725078899
ANXA2,AARS2,0.419024302981425
ANXA2,ABCC9,0.6159520279808017
ANXA2,ABCC1,0.5093971699256146
ANXA2,AATF,0.5028577246516135
ANXA2,ABCB1,0.2975327350719972
ANXA2,AAMDC,0.6904745520740855
AKR1C2,ABC14-864958H18.2,0.18208649092910742
AKR1C2,ABCB7,0.48610451346946193
AKR1C2,AAK1,0.30757125942979163
AKR1C2,ABCD4,0.5256168307021694
AKR1C2,ABC7-42391500H16.4,0.12562948816549058
AKR1C2,ABC12-47964100C23.1,0.8438540228798423
AKR1C2,AADAT,0.4655601119734074
AKR1C2,AADACL3,0.29835446567485063
AKR1C2,AB019441.29,0.13390083919581244
AKR1C2,A2M,0.7700898816314015
AKR1C2,ABCB10P3,-0.003115807901600686
AKR1C2,ABCA7,0.23208875062939618
AKR1C2,AASS,0.04984964455532016
AKR1C2,ABCB8,0.6994182257312794
AKR1C2,ABCC13,0.007185789261004024
AKR1C2,AARS,0.5206656429165282
AKR1C2,ABCA8,0.7820701370257392
AKR1C2,ABCB4,0.05585225374133936
AKR1C2,AASDH,0.32031398346579576
AKR1C2,A4GALT,0.5885176343671509
AKR1C2,ABCB6,0.8506339455768166
AKR1C2,ABCC6P2,0.7304333695714358
AKR1C2,ABCB10P1,0.43909321735882056
AKR1C2,ABCB11,0.33101590044642887
AKR1C2,ABCB10P4,-0.013678566002974285
AKR1C2,ABCC11,0.49005652542876044
AKR1C2,A1BG,0.16602857785226824
AKR1C2,AAGAB,0.4375820522460296
AKR1C2,AADACL4,0.5934229229096878
AKR1C2,ABCB10,0.3134574452423025
AKR1C2,AASDHPPT,0.31535325645019036
AKR1C2,ABCD2,0.8160829564713153
AKR1C2,ABCC5,0.37075703056554515
AKR1C2,ABC13-48559800H2.1,0.16166935433997898
AKR1C2,AAED1,0.2707795749570725
AKR1C2,ABCA6,0.2933161452163501
AKR1C2,ABCD3,0.39527754583778557
AKR1C2,ABCD1,0.33525706718917
AKR1C2,AATK-AS1,0.8253232295784512
AKR1C2,ABC13-47656900H15.1,0.09781007765609873
AKR1C2,ABCD1P5,0.05053700688209879
AKR1C2,ABCA5,0.2364482135681166
AKR1C2,ABCA2,0.33243555946580744
AKR1C2,ABCB9,0.3083619947884739
AKR1C2,ABC7-42418200C9.1,0.006696686322504231
AKR1C2,ABC7-42404400C24.1,0.5829384716964903
AKR1C2,AARSD1,0.8664795880602372
AKR1C2,ABCA10,0.697467124802261
AKR1C2,AADACP1,0.5268520133330967
AKR1C2,AAR2,0.7138738266962162
AKR1C2,A3GALT2,0.03464039872487886
AKR1C2,AADAC,0.9500524068909935
AKR1C2,ABCA3,0.36448643195608155
AKR1C2,ABCA4,0.41424596839351446
AKR1C2,A2MP1,0.5940626884433121
AKR1C2,AAMP,0.8365732905853559
AKR1C2,ABCA11P,0.364776478167941
AKR1C2,ABCA1,0.3223256921720887
AKR1C2,ABCC3,0.5285015907847522
AKR1C2,ABCC10,0.36050526063501864
AKR1C2,ABCC2,0.5153684334321389
AKR1C2,AAAS,0.7368703557663143
AKR1C2,ABCA9,0.7099219605166911
AKR1C2,AACS,0.8183482097014851
AKR1C2,ABCC4,0.01823157648848568
AKR1C2,ABC9-43961700F1.1,-0.013653717298618478
AKR1C2,ABCC6,0.8257374484492122
AKR1C2,ABCC6P1,0.6556439035746775
AKR1C2,ABCC12,0.31705405280628907
AKR1C2,ABCA17P,0.16581834544497026
